بسم	bism
من يصرف عنه	may yuṣraf ‘an-h
الفوز المبين	al-fauzul-mubīn
بضر فلا كاشف	biḍurrin fa lā kāsyif
وإن يمسسك	wa iy yamsask
فوق عباده	fauqa ‘ibādih
أكبر شهادة	akbaru syahādah
قل الله	qulillāh
شهيد بيني	syahīdum bainī
القرآن لأنذركم	al-qur`ānu li`unżirakum
آلهة أخرى	ālihatan ukhrā
قل لا أشهد	qul lā asy-had
وإنني بريء	wa innanī barī`
يعرفون أبناءهم	ya’rifụna abnā`ahum
خسروا أنفسهم	khasirū anfusahum
ممن افترى	mim maniftarā
يفلح الظالمون	yufliḥuẓ-ẓālimụn
أشركوا أين شركاؤكم	asyrakū aina syurakā`ukum
تكن فتنتهم	takun fitnatuhum
كيف كذبوا	kaifa każabụ
يستمع إليك	yastami’u ilaīk
آذانهم وقرا	āżānihim waqrā
يروا كل آية لا	yarau kulla āyatil lā
جاءوك يجادلونك	jā`ụka yujādilụnak
وينأون عنه	wa yan`auna ‘an-h
وإن يهلكون	wa iy yuhlikụn
ليتنا نرد	laitanā nurad
بل بدا لهم	bal badā lahum
ردوا لعادوا	ruddụ la’ādụ
نحن بمبعوثين	naḥnu bimab’ụṡīn
ترى إذ وقفوا	tarā iż wuqifụ
قال أليس	qāla a laisa
بلى وربنا	balā wa rabbinā
كذبوا بلقاء الله	każżabụ biliqā`illāh
جاءتهم الساعة بغتة	jā`at-humus-sā’atu bagtah
ألا ساء ما يزرون	alā sā`a mā yazirụn
لعب ولهو	la’ibuw wa lahw
وللدار الآخرة	wa lad-dārul-ākhirah
بآيات الله يجحدون	bi`āyātillāhi yaj-ḥadụn
كذبوا وأوذوا	kużżibụ wa ụżụ
مبدل لكلمات الله	mubaddila likalimātillāh
من نبإ المرسلين	min naba`il-mursalīn
فتأتيهم بآية	fa ta`tiyahum bi`āyah
من الجاهلين	minal-jāhilīn
إنما يستجيب	innamā yastajīb
والموتى يبعثهم	wal-mautā yab’aṡuhum
لولا نزل	lau lā nuzzil
آية ولكن	āyataw wa lākin
طائر يطير	ṭā`iriy yaṭīr
ربهم يحشرون	rabbihim yuḥsyarụn
بآياتنا صم	bi`āyātinā ṣumm
من يشإ الله	may yasya`illāh
من يشأ يجعله	may yasya` yaj’al-h
أتتكم الساعة	atatkumus-sā’ah
إن كنتم صادقين	ing kuntum ṣādiqīn
تدعون فيكشف	tad’ụna fa yaksyif
بالبأساء والضراء	bil-ba`sā`i waḍ-ḍarrā`
بأسنا تضرعوا	ba`sunā taḍarra’ụ
فلما نسوا	fa lammā nasụ
أوتوا أخذناهم	ụtū akhażnāhum
فقطع دابر	fa quṭi’a dābir
أرأيتم	a ra`aitum
نصرف الآيات	nuṣarriful-āyāt
أرأيتكم إن أتاكم	a ra`aitakum in atākum
مبشرين ومنذرين	mubasysyirīna wa munżirīn
آمن وأصلح	āmana wa aṣlaḥ
بآياتنا يمسهم	bi`āyātinā yamassuhum
عندي خزائن	‘indī khazā`in
يستوي الأعمى	yastawil-a’mā
أفلا تتفكرون	a fa lā tatafakkarụn
شفيع لعلهم	syafī’ul la’allahum
بالغداة والعشي	bil-gadāti wal-‘asyī
فتطردهم فتكون	fa taṭrudahum fa takụn
ليقولوا أهؤلاء	liyaqụlū a hā`ulā`
بأعلم بالشاكرين	bi`a’lama bisy-syākirīn
بجهالة ثم تاب	 bijahālatin ṡumma tāb
نفصل الآيات	nufaṣṣilul-āyāt
نهيت أن	nuhītu an
قد ضللت	qad ḍalalt
بينة من ربي	bayyinatim mir rabbī
تستعجلون به	tasta’jilụna bih
إن الحكم	inil-ḥukm
يقص الحق	yaquṣṣul-ḥaqq
لو أن عندي	lau anna ‘indī
أعلم بالظالمين	a’lamu biẓ-ẓālimīn
مفاتح الغيب	mafātiḥul-gaib
تسقط من ورقة	tasquṭu miw waraqah
يتوفاكم بالليل	yatawaffākum bil-lail
ينبئكم	yunabbi`ukum
القاهر فوق	al-qāhiru fauq
توفته رسلنا	tawaffat-hu rusulunā
مولاهم الحق	maulāhumul-ḥaqq
أسرع الحاسبين	asra’ul-ḥāsibīn
تضرعا وخفية	taḍarru’aw wa khufyah
لئن أنجانا	la`in anjānā
كل كرب	kulli karb
شيعا ويذيق	syiya’aw wa yużīq
انظر كيف	unẓur kaif
قومك	qaumuk
بوكيل	biwakīl
نبإ مستقر	naba`im mustaqarr
حديث غيره	ḥadīṡin gairih
ينسينك الشيطان	yunsiyannakasy-syaiṭān
ولكن ذكرى	wa lākin żikrā
لعبا ولهوا	la’ibaw wa lahwā
تعدل كل عدل لا	ta’dil kulla ‘adlil lā
أبسلوا بما كسبوا	ubsilụ bimā kasabụ
كالذي استهوته	kallażistahwat-h
وأمرنا لنسلم	wa umirnā linuslim
الصلاة واتقوه	aṣ-ṣalāta wattaqụh
قوله الحق	qauluhul-ḥaqq
ينفخ في الصور	yunfakhu fiṣ-ṣụr
عالم الغيب	‘ālimul-gaib
آزر أتتخذ	āzara a tattakhiżu
أصناما آلهة	aṣnāman ālihah
أراك وقومك	arāka wa qaumak
نري إبراهيم	nurī ibrāhīm
رأى كوكبا	ra`ā kaukabā
قال هذا ربي	qāla hāżā rabbī
أحب الآفلين	uḥibbul-āfilīn
رأى القمر بازغا	ra`al-qamar
لئن لم يهدني	la`il lam yahdinī
بازغة قال	bāzigatang qāl
فلما أفلت	fa lammā afalat
وجهي للذي	waj-hiya lillażī
وحاجه قومه	wa ḥājjahụ qaumuh
وقد هدان	wa qad hadān
ربي شيئا	rabbī syai`ā
وسع ربي	wasi’a rabbī
أفلا تتذكرون	a fa lā tatażakkarụn
أخاف ما أشركتم	akhāfu mā asyraktum
فأي الفريقين	fa ayyul-farīqain
أحق بالأمن	aḥaqqu bil-amn
يلبسوا إيمانهم	yalbisū īmānahum
حجتنا آتيناها	ḥujjatunā ātaināhā
درجات من	narfa’u darajātim man nasyā`
ووهبنا له	wa wahabnā lah
ذريته داوود	żurriyyatihī dāwụd
نجزي المحسنين	najzil-muḥsinīn
وزكريا ويحيى	wa zakariyyā wa yaḥyā
واليسع ويونس	walyasa’a wa yụnus
وكلا فضلنا	wa kullan faḍḍalnā
آبائهم وذرياتهم	ābā`ihim wa żurriyyātihim
واجتبيناهم وهديناهم	wajtabaināhum wa hadaināhum
يهدي به	yahdī bih
أشركوا لحبط	asyrakụ laḥabiṭ
والحكم والنبوة	wal-ḥukma wan-nubuwwah
قوما ليسوا	qaumal laisụ
فبهداهم اقتده	fa bihudāhumuqtadih
لا أسألكم	lā as`alukum
ذكرى للعالمين	żikrā lil-‘ālamīn
حق قدره	ḥaqqa qadrih
تجعلونه قراطيس	taj’alụnahụ qarāṭīs
وعلمتم ما لم	wa ‘ullimtum mā lam
خوضهم يلعبون	khauḍihim yal’abụn
مبارك مصدق	mubārakum muṣaddiq
صلاتهم يحافظون	ṣalātihim yuḥāfiẓụn
سأنزل مثل	sa`unzilu miṡl
غمرات الموت 	gamarātil-maut
أخرجوا أنفسكم	akhrijū anfusakum
آياته تستكبرون	āyātihī tastakbirụn
جئتمونا فرادى	ji'tumūnā furādā
شفعاءكم الذين	syufa’ā`akumullażīn
لقد تقطع	laqat taqaṭṭa’
فالق الحب	fāliqul-ḥabb
ومخرج الميت	wa mukhrijul-mayyit
فأنى تؤفكون	fa annā tu`fakụn
فالق الإصباح	fāliqul-iṣbāḥ
والقمر حسبانا	wal-qamara ḥusbānā
تقدير العزيز	taqdīrul-‘azīz
النجوم لتهتدوا	an-nujụma litahtadụ
فصلنا الآيات	faṣṣalnal-āyāt
فمستقر ومستودع	fa mustaqarruw wa mustauda’
لقوم يفقهون	liqaumiy yafqahụn
السماء ماء	as-samā`i mā`
حبا متراكبا	ḥabbam mutarākibā
قنوان دانية	qinwānun dāniyah
أثمر وينعه	aṡmara wa yan’ih
لقوم يؤمنون	liqaumiy yu`minụn
بنين وبنات	banīna wa banāt
عما يصفون	‘ammā yaṣifụn
له صاحبة	lahụ ṣāḥibah
تدركه الأبصار	tudrikuhul-abṣār
اللطيف الخبير	al-laṭīful-khabīr
جاءكم بصائر	jā`akum baṣā`ir
أبصر فلنفسه	abṣara fa linafsih
عمي فعليها	‘amiya fa ‘alaihā
وما أنا عليكم	wa mā ana ‘alaikum
درست ولنبينه	darasta wa linubayyinah
اتبع ما أوحي	ittabi’ mā ụḥī
وأعرض عن	a’riḍ ‘an
ما أشركوا	mā asyrakụ
عليهم حفيظا	‘alaihim ḥafīẓā
عليهم بوكيل	‘alaihim biwakīl
فيسبوا الله	fa yasubbullāh
مرجعهم فينبئهم	marji’uhum fa yunabbi`uhum
ليؤمنن بها	layu`minunna bihā
يشعركم أنها	yusy’irukum annahā
أفئدتهم وأبصارهم	af`idatahum wa abṣārahum
أكثرهم يجهلون	akṡarahum yaj-halụn
عدوا شياطين	‘aduwwan syayāṭīn
فعلوه فذرهم	fa’alụhu fa żar-hum
ولتصغى إليه	wa litaṣgā ilaih
الكتاب مفصلا	al-kitāba mufaṣṣalā
أنه منزل	annahụ munazzal
صدقا وعدلا	ṣidqaw wa ‘adlā
لا مبدل لكلماته	lā mubaddila likalimātih
تطع أكثر	tuṭi’ akṡar
يتبعون إلا الظن	yattabi’ụna illaẓ-ẓann
أعلم من يضل	a’lamu may yaḍill
أعلم بالمهتدين	 a’lamu bil-muhtadīn
فكلوا مما	fa kulụ mimmā
ما اضطررتم إليه	maḍṭurirtum ilaīh
ليضلون بأهوائهم	layuḍillụna bi`ahwā`ihim
أعلم بالمعتدين	a’lamu bil-mu’tadīn
وذروا ظاهر	wa żarụ ẓāhir
الإثم وباطنه	al-iṡmi wa bāṭinah
الإثم سيجزون	nal-iṡma sayujzaun
وإنه لفسق	wa innahụ lafisq
الشياطين ليوحون	sy-syayāṭīna layụḥụn
أطعتموهم إنكم	aṭa’tumụhum innakum
ميتا فأحييناه	maitan fa aḥyaināh
زين للكافرين	zuyyina lil-kāfirīn
قرية أكابر	qaryatin akābir
بأنفسهم	bi`anfusihim
نؤتى مثل	nu`tā miṡl
حيث يجعل	ḥaiṡu yaj’al
صغار عند	ṣagārun ‘ind
يشرح صدره	yasyraḥ ṣadrah
صدره ضيقا	ṣadrahụ ḍayyiqā
كذلك يجعل	każālika yaj’al
صراط ربك	ṣirāṭu rabbik
قد فصلنا	qad faṣṣalnā
دار السلام	dārus-salām
يحشرهم جميعا	yaḥsyuruhum jamī’ā
قد استكثرتم	qadistakṡartum
ربنا استمتع	rabbanastamta’
النار مثواكم	an-nāru maṡwākum
ربك حكيم	rabbaka ḥakīm
الظالمين بعضا	aẓ-ẓālimīna ba’ḍā
وينذرونكم لقاء	wa yunżirụnakum liqā`
وغرتهم الحياة	wa garrat-humul-ḥayāh
مهلك القرى	muhlikal-qurā
ولكل درجات	wa likullin darajāt
ربك بغافل	rabbuka bigāfil
وربك الغني	wa rabbukal-ganī
يذهبكم ويستخلف	yuż-hibkum wa yastakhlif
توعدون لآت	tụ’adụna la`āt
قوم اعملوا	qaumi’malụ
عاقبة الدار	‘āqibatud-dār
يفلح الظالمون	yufliḥuẓ-ẓālimụn
والأنعام نصيبا	wal-an’āmi naṣībā
كان لشركائهم	kāna lisyurakā`ihim
فهو يصل	fa huwa yaṣil
ساء ما يحكمون	sā`a mā yaḥkumụn
ليردوهم وليلبسوا	liyurdụhum wa liyalbisụ
فعلوه فذرهم	fa’alụhu fa żar-hum
حرمت ظهورها	ḥurrimat ẓuhụruhā
سيجزيهم بما	sayajzīhim bimā
الأنعام خالصة	al-an’āmi khāliṣah
فيه شركاء	fīhi syurakā`
سيجزيهم وصفهم	sayajzīhim waṣfahum
حكيم عليم	ḥakīmun ‘alīm
قتلوا أولادهم	qatalū aulādahum
قد ضلوا	qad ḍallụ
أنشأ جنات معروشات	ansya`a jannātim ma’rụsyāt
أثمر وآتوا	aṡmara wa ātụ
يحب المسرفين	yuḥibbul-musrifīn
حمولة وفرشا	ḥamụlataw wa farsyā
خطوات الشيطان	khuṭuwātisy-syaiṭān
عدو مبين	‘aduwwum mubīn
ثمانية أزواج	ṡamāniyata azwāj
الضأن اثنين	aḍ-ḍa`niṡnain
الأنثيين أما اشتملت	al-unṡayaini ammasytamalat
نبئوني بعلم	nabbi`ụnī bi’ilm
البقر اثنين	al-baqariṡnaīn
أرحام الأنثيين	ar-ḥāmul-unṡayaīn
إذ وصاكم	iż waṣṣākum
ليضل الناس	liyuḍillan-nās
القوم الظالمين	al-qaumaẓ-ẓālimīn
لحم خنزير	laḥma khinzīr
غير باغ	gaira bāg
ذي ظفر	żī ẓufur
ما اختلط بعظم	makhtalaṭa bi’aẓm
جزيناهم ببغيهم	jazaināhum bibagyihim
وإنا لصادقون	wa innā laṣādiqụn
كذبوك فقل	każżabụka fa qul
يرد بأسه	yuraddu ba`suh
ذاقوا بأسنا	żāqụ ba`sanā
فتخرجوه لنا	fa tukhrijụhu lanā
إلا تخرصون	illā takhruṣụn
الحجة البالغة	al-ḥujjatul-bāligah
شاء لهداكم	syā`a lahadākum
تشهد معهم	tasy-had ma’ahum
بربهم يعدلون	birabbihim ya’dilụn
تشركوا به شيئا	tusyrikụ bihī syai`ā
من إملاق	min imlāq
نرزقكم وإياهم	narzuqukum wa iyyāhum
تقربوا الفواحش	taqrabul-fawāḥisy
تقتلوا النفس	taqtulun-nafs
ذلكم وصاكم	żālikum waṣṣākum
يبلغ أشده	yabluga asyuddah
وأوفوا الكيل	wa auful-kail
ذا قربى 	żā qurbā
وبعهد الله أوفوا	wa bi’ahdillāhi aufụ
ذلكم وصاكم	żālikum waṣṣākum
مستقيما فاتبعوه	mustaqīman fattabi’ụh
تتبعوا السبل	tattabi’us-subul
أحسن وتفصيلا	aḥsana wa tafṣīl
مبارك فاتبعوه	mubārakun fattabi’ụh
دراستهم لغافلين	dirāsatihim lagāfilīn
لكنا أهدى	lakunnā ahdā
وهدى ورحمة	wa hudaw wa raḥmah
وصدف عنها	wa ṣadafa ‘an-hā
سنجزي الذين	sanajzillażīn
أو يأتي ربك	au ya`tiya rabbuk
تكن آمنت	takun āmanat
قل انتظروا	qulintaẓirū
فرقوا دينهم	farraqụ dīnahum
ثم ينبئهم	ṡumma yunabbi`uhum
عشر أمثالها	‘asyru amṡālihā
جاء بالسيئة 	jā`a bis-sayyi`ah
إنني هداني	innanī hadānī
دينا قيما ملة	dīnang qiyamam millah
ونسكي ومحياي	wa nusukī wa maḥyāyā
لا شريك له	lā syarīka lah
أول المسلمين	awwalul-muslimīn
أبغي ربا	abgī rabbā
ولا تكسب	wa lā taksib
وازرة وزر	wāziratuw wizr
مرجعكم فينبئكم	marji’ukum fa yunabbi`ukum
خلائف الأرض	khalā`ifal-arḍ
سريع العقاب	sarī’ul-‘iqāb
وذكرى للمؤمنين	wa żikrā lil-mu`minīn
دونه أولياء	dụnihī auliyā`
قليلا ما تذكرون	qalīlam mā tażakkarụn
فجاءها بأسنا	fa jā`ahā ba`sunā
كنا ظالمين	kunnā ẓālimīn
ولنسألن المرسلين	wa lanas`alannal-mursalīn
كنا غائبين	kunnā gā`ibīn
والوزن يومئذ	wal-waznu yauma`iż
فمن ثقلت	fa man ṡaqulat
ومن خفت	wa man khaffat
ولقد مكناكم	wa laqad makkannākum
قليلا ما تشكرون	qalīlam mā tasykurụn
ثم صورناكم	ṡumma ṣawwarnākum
من الساجدين	minas-sājidīn
تسجد إذ أمرتك	tasjuda iż amartuk
خير منه	khairum min-h
خلقته من طين	khalaqtahụ min ṭīn
تتكبر فيها	tatakabbara fīhā
يوم يبعثون	yaumi yub’aṡụn
من المنظرين	minal-munẓarīn
أغويتني لأقعدن	agwaitanī la`aq’udann
وعن شمائلهم	wa ‘an syamā`ilihim
تجد أكثرهم	tajidu akṡarahum
مذءوما مدحورا	maż`ụmam mad-ḥụrā
لأملأن جهنم	la`amla`anna jahannam
حيث شئتما	ḥaiṡu syi`tumā
فوسوس لهما	fa waswasa lahumā
لمن الناصحين	laminan-nāṣiḥīn
فدلاهما بغرور	fa dallāhumā bigurụr
ذاقا الشجرة	żāqasy-syajarah
وناداهما ربهما	wa nādāhumā rabbuhumā
وترحمنا لنكونن	wa tar-ḥamnā lanakụnann
قال اهبطوا	qālahbiṭụ
مستقر ومتاع	mustaqarruw wa matā’
فيها تحيون	fīhā taḥyaun
سوآتكم وريشا	sau`ātikum warīsyā
ولباس التقوى	wa libāsut-taqwā
لعلهم يذكرون	la’allahum yażżakkarụn
ليريهما سوآتهما	liyuriyahumā sau`ātihimā
إنه يراكم	innahụ yarākum
جعلنا الشياطين	ja’alnasy-syayāṭīn
فعلوا فاحشة	fa’alụ fāḥisyah
يأمر بالفحشاء	ya`muru bil-faḥsyā`
أتقولون	a taqụlụn
ربي بالقسط	rabbī bil-qisṭ
وادعوه مخلصين	wad’ụhu mukhliṣīn
بدأكم تعودون	bada`akum ta’ụdụn
إنهم اتخذوا	innahumuttakhażụ
تسرفوا	tusrifụ
يحب المسرفين	innahụ lā yuḥibbul-musrifīn
لعباده والطيبات	li’ibādihī waṭ-ṭayyibāt
الدنيا خالصة	ad-dun-yā khāliṣah
كذلك نفصل	każālika nufaṣṣil
أمة أجل	ummatin ajal
يستأخرون ساعة	yasta`khirụna sā’ah
فمن اتقى	fa manittaqā
بآياتنا واستكبروا	bi`āyātinā wastakbarụ
كذبا أو كذب	każiban au każżab
ينالهم نصيبهم	yanaluhum naṣībuhum
رسلنا يتوفونهم	rusulunā yatawaffaunahum
ضلوا عنا وشهدوا	ḍallụ ‘annā wa syahidụ
لعنت أختها	la’anat ukhtahā
عذابا ضعفا	‘ażāban ḍi’fā
لكل ضعف	likullin ḍi’f
أولاهم لأخراهم	ụlāhum li`ukhrāhum
فوقهم غواش	fauqihim gawāsy
نجزي الظالمين	najziẓ-ẓālimīn
نكلف نفسا	nukallifu nafsā
غل تجري	gillin tajrī
هدانا لهذا	hadānā lihāżā
لنهتدي لولا	linahtadiya lau lā
ربنا بالحق	rabbinā bil-ḥaqq
الجنة أورثتموها	al-jannatu ụriṡtumụhā
ونادى أصحاب	wa nādā aṣ-ḥāb
قالوا نعم	qālụ na’am
فأذن مؤذن	fa ażżana mu`ażżin
ويبغونها عوجا	wa yabgụnahā ‘iwajā
بالآخرة كافرون	bil-ākhirati kāfirụn
وبينهما حجاب	wa bainahumā ḥijāb
الأعراف رجال	al-a’rāfi rijāl
أن سلام عليكم	an salāmun ‘alaikum
لم يدخلوها	lam yadkhulụhā
صرفت أبصارهم تلقاء	ṣurifat abṣāruhum tilqā`
كنتم تستكبرون	kuntum tastakbirụn
أهؤلاء الذين أقسمتم	a hā`ulā`illażīna aqsamtum
ادخلوا الجنة	udkhulul-jannah
 أن أفيضوا علينا	an afīḍụ ‘alainā
حرمهما على الكافرين	ḥarramahumā ‘alal-kāfirīn
لهوا ولعبا 	lahwaw wa la’ibā
ننساهم كما نسوا	nansāhum kamā nasụ
بكتاب فصلناه	bikitābin faṣṣalnāh
إلا تأويله	illā ta`wīlah
يأتي تأويله	ya`tī ta`wīluh
من شفعاء فيشفعوا	min syufa’ā`a fa yasyfa’ụ
كانوا يفترون	kānụ yaftarụn
ستة أيام	sittati ayyām
يطلبه حثيثا	yaṭlubuhụ ḥaṡīṡā
تبارك الله	tabārakallāh
تضرعا وخفية	taḍarru’aw wa khufyah
يحب المعتدين	yuḥibbul-mu’tadīn
خوفا وطمعا	khaufaw wa ṭama’ā
قريب من المحسنين	qarībum minal-muḥsinīn
بين يدي رحمته	baina yadai raḥmatih
ثقالا سقناه	ṡiqālan suqnāh
نخرج الموتى	nukhrijul-mautā
والبلد الطيب	wal-baladuṭ-ṭayyib
خبث إلا نكدا	khabuṡa illā nakidā
قومه فقال	qaumihī fa qāl
إني أخاف	innī akhāf
إنا لنراك	innā lanarāk
ضلالة ولكني	ḍalālatuw wa lākinnī
أبلغكم رسالات	uballigukum risālāt
أوعجبتم أن جاءكم	a wa ‘ajibtum an jā`akum
فكذبوه فأنجيناه	fa każżabụhu fa anjaināh
قوما عمين	qauman ‘amīn
عاد أخاهم هودا	‘ādin akhāhum hụdā
إله غيره	ilāhin gairuh
سفاهة وإنا لنظنك	safāhatiw wa innā lanaẓunnuk
سفاهة ولكني	safāhatuw wa lākinnī
ناصح أمين	nāṣiḥun amīn
لينذركم	liyunżirakum
الخلق بسطة	al-khalqi baṣṭah
فاذكروا آلاء	fażkurū ālā`
يعبد آباؤنا	ya’budu ābā`unā
فأتنا بما تعدنا	fa`tinā bimā ta’idunā
رجس وغضب	rijsuw wa gaḍab
من سلطان	min sulṭān
فانتظروا إني	fantaẓirū innī
وقطعنا دابر	wa qaṭa’nā dābir
أخاهم صالحا	akhāhum ṣāliḥā
قوم اعبدوا الله ما	qaumi’budullāha mā
جاءتكم بينة	jā`atkum bayyinah
تمسوها بسوء	tamassụhā bisū`
قصورا وتنحتون	quṣụraw wa tan-ḥitụn
تعثوا في	ta’ṡau fī
للذين استضعفوا	lillażīnastuḍ’ifụ
بما أرسل به	bimā ursila bih
بالذي آمنتم	billażī āmantum
فعقروا الناقة	fa ‘aqarun-nāqah
فأخذتهم الرجفة	fa akhażat-humur-rajfah
تحبون الناصحين	tuḥibbụnan-nāṣiḥīn
أتأتون الفاحشة	a ta`tụnal-fāḥisyah
لتأتون الرجال	lata`tụnar-rijāl
قوم مسرفون	qaumum musrifụn
جواب قومه	jawāba qaumih
إنهم أناس	innahum unās
إلا امرأته	illamra`atah
وأمطرنا مطرا	wa amṭarnā maṭarā
عاقبة المجرمين	‘āqibatul-mujrimīn
أخاهم شعيبا	akhāhum syu’aibā
قال يا قوم	qāla yā qaum
فأوفوا الكيل	fa auful-kail
ذلكم خير	żālikum khair
توعدون وتصدون	tụ’idụna wa taṣuddụn
قليلا فكثركم	qalīlan fa kaṡṡarakum
وطائفة لم يؤمنوا	wa ṭā`ifatul lam yu`minụ
خير الحاكمين	khairul-ḥākimīn
لنخرجنك يا شعيب	lanukhrijannaka yā syu’aib
كنا كارهين	kunnā kārihīn
قد افترينا	qadiftarainā
أن نعود فيها	an na’ụda fīhā
وسع ربنا	wasi’a rabbunā
على الله توكلنا	‘alallāhi tawakkalnā
ربنا افتح بيننا	rabbanaftaḥ bainanā
لئن اتبعتم شعيبا	la`inittaba’tum syu’aibā
الرجفة فأصبحوا	ar-rajfatu fa aṣbaḥụ
كذبوا شعيبا كأن لم	każżabụ syu’aibang ka`al lam
ونصحت لكم	wa naṣaḥtu lakum
فكيف آسى	fa kaifa āsā
أهلها بالبأساء	ahlahā bil-ba`sā`
مكان السيئة الحسنة	makānas-sayyi`atil-ḥasanah
واتقوا لفتحنا	wattaqau lafataḥnā
بياتا وهم نائمون	bayātaw wa hum nā`imụn
ضحى وهم يلعبون	ḍuḥaw wa hum yal’abụn
أفأمنوا مكر الله	a fa aminụ makrallāh
يأمن مكر	ya`manu makr
يرثون الأرض	yariṡụnal-arḍ
ونطبع على	wa naṭba’u ‘alā
القرى نقص عليك	al-qurā naquṣṣu ‘alaik
رسلهم بالبينات	rusuluhum bil-bayyināt
كذبوا من قبل	każżabụ ming qabl
كذلك يطبع الله	każālika yaṭba’ullāh
وجدنا لأكثرهم	wajadnā li`akṡarihim
أكثرهم لفاسقين	akṡarahum lafāsiqīn
وملئه فظلموا بها	wa mala`ihī fa ẓalamụ bihā
عاقبة المفسدين	‘āqibatul-mufsidīn
موسى يا فرعون	mụsā yā fir’aun
حقيق على	ḥaqīqun ‘alā
قد جئتكم ببينة من	qad ji`tukum bibayyinatim min
جئت بآية فأت بها	ji`ta bi`āyatin fa`ti bihā
ثعبان مبين	ṡu’bānum mubīn
بيضاء للناظرين	baiḍā`u lin-nāẓirīn
لساحر عليم	lasāḥirun ‘alīm
من أرضكم	min arḍikum
فماذا تأمرون	fa māżā ta`murụn
المدائن حاشرين	al-madā`ini ḥāsyirīn
يأتوك بكل	ya`tụka bikull
نحن الغالبين	naḥnul-gālibīn
لمن المقربين	laminal-muqarrabīn
نحن الملقين	naḥnul-mulqīn
قال ألقوا	qāla alqụ
واسترهبوهم وجاءوا	wastar-habụhum wa jā`ụ
ألق عصاك	alqi ‘aṣāk
تلقف ما يأفكون	talqafu mā ya`fikụn
فوقع الحق	fa waqa’al-ḥaqq
وانقلبوا صاغرين	wangqalabụ ṣāgirīn
وألقي السحرة	wa ulqiyas-saḥarah
قالوا آمنا	qālū āmannā
رب موسى وهارون	rabbi mụsā wa hārụn
أن آذن لكم	an āżana lakum
لمكر مكرتموه	lamakrum makartumụh
فسوف تعلمون	fa saufa ta’lamụn
لأصلبنكم أجمعين	la`uṣallibannakum ajma’īn
ربنا منقلبون	rabbinā mungqalibụn
آمنا بآيات	āmannā bi`āyāt
صبرا وتوفنا	ṣabraw wa tawaffanā
ويذرك وآلهتك	wa yażaraka wa ālihatak
ونستحيي نساءهم	wa nastaḥyī nisā`ahum
فوقهم قاهرون	fauqahum qāhirụn
لقومه استعينوا	liqaumihista’īnụ billāhi waṣbirụ
إن الأرض لله	innal-arḍa lillāh
يورثها من يشاء	yụriṡuhā may yasyā`
والعاقبة للمتقين	wal-‘āqibatu lil-muttaqīn
قالوا أوذينا	qālū ụżīnā
عدوكم ويستخلفكم	‘aduwwakum wa yastakhlifakum
بالسنين ونقص	bis-sinīna wa naqṣ
جاءتهم الحسنة	jā`at-humul-ḥasanah
سيئة يطيروا	sayyi`atuy yaṭṭayyarụ
إنما طائرهم	innamā ṭā`iruhum
مهما تأتنا	mahmā ta`tinā
والقمل والضفادع 	wal-qummala waḍ-ḍafādi’
فاستكبروا	fastakbarụ
وقع عليهم الرجز	waqa’a ‘alaihimur-rijz
عنا الرجز	‘annar-rijz
هم ينكثون	hum yangkuṡụn
فانتقمنا منهم فأغرقناهم	fantaqamnā min-hum fa agraqnāhum
وأورثنا القوم	wa auraṡnal-qaum
ربك الحسنى	rabbikal-ḥusnā
يصنع فرعون	yaṣna’u fir’aun
وجاوزنا ببني	wa jāwaznā bibanī
إلها كما لهم	ilāhang kamā lahum
إن هؤلاء متبر	inna hā`ulā`i mutabbar
أغير الله أبغيكم	a gairallāhi abgīkum
يسومونكم سوء العذاب	yasụmụnakum sū`al-‘ażāb
ويستحيون نساءكم 	wa yastaḥyụna nisā`akum
ذلكم بلاء من	żālikum balā`um min
بعشر فتم ميقات	bi’asyrin fa tamma mīqāt
قومي وأصلح	qaumī wa aṣliḥ
لميقاتنا وكلمه	limīqātinā wa kallamah
فإن استقر مكانه	fa inistaqarra makānah
دكا وخر موسى صعقا	dakkaw wa kharra mụsā ṣa’iqā
فلما أفاق	fa lammā afāq
برسالاتي وبكلامي	birisālātī wa bikalāmī
موعظة وتفصيلا	mau’iẓataw wa tafṣīl
فخذها بقوة وأمر	fa khuż-hā biquwwatiw wa`mur
سأريكم دار الفاسقين	sa`urīkum dāral-fāsiqīn
سأصرف عن آياتي	sa aṣrifu ‘an āyātī
وإن يروا كل آية	wa iy yarau kulla āyah
سبيل الرشد	sabīlar-rusyd
سبيل الغي	sabīlal-gayy
عنها غافلين	‘an-hā gāfilīn
حبطت أعمالهم	ḥabiṭat a’māluhum
هل يجزون	hal yujzaun
عجلا جسدا له خوار	‘ijlan jasadal lahụ khuwār
يهديهم سبيلا	yahdīhim sabīlā
اتخذوه	ittakhażụh
قد ضلوا	qad ḍallụ
غضبان أسفا	gaḍbāna asifā
أعجلتم أمر ربكم	a ‘ajiltum amra rabbikum
أخذ برأس أخيه	akhaża bira`si akhīh
القوم استضعفوني	al-qaumastaḍ’afụnī
لأخي وأدخلنا	lī wa li`akhī wa adkhilnā
إن الذين اتخذوا العجل سينالهم	innallażīnattakhażul-‘ijla sayanāluhum
نجزي المفترين	najzil-muftarīn
عملوا السيئات	‘amilus-sayyi`āt
أخذ الألواح	akhażal-alwāḥ
